Código Produto;Produto;Quantidade em Estoque;Código Acesso;Dias Ult. Entrada;Custo Liq. Unitário
32779;CAMISETA MENOR APRENDIZ P;9;9517919;118;18,7112
32778;CAMISETA MENOR APRENDIZ PP;15;9517779;118;18,7087
32781;CAMISETA MENOR APRENDIZ PV BCO T M 0050C;8;9518219;118;18,8
32600;CAMISETA POLO M C PIQUE BCO PP;1;77309327;537;26,4763
34245;CAMISETA POLO M C PIQUE BCO T G;2;17289;405;20,7192
43214;CAMISETA POLO M C PIQUE BCO T GG;5;43214;405;19,4978
34246;CAMISETA POLO M C PIQUE V MACA T G;3;15344;494;26,4811
34247;CAMISETA POLO M C PIQUE V MACA T GG;3;17460;494;26,4772
32605;CAMISETA POLO M C PIQUE VDE BAND GG;6;14899;537;26,4767
32604;CAMISETA POLO M C PIQUE VDE BAND TG;9;77298584;494;26,1232
55501;CAMISETA POLO M C PIQUE VERDE MACA 6196 T 5G;5;55501;537;29,6313
56560;CAMISETA POLO M C PIQUE VERDE MACA TAM 4G;6;56560;537;29,6313
56753;CAMISETA POLO M C TRAD T 4G PIQUE VERDE MUSGO;6;56753;537;29,6317
56751;CAMISETA POLO M C TRAD T PP PIQUE VERDE MUSGO;1;56751;537;26,4767
58989;CAMISETA POLO PIQUE PRETO 9900 T 3G;2;58989;221;36,935
58551;CAMISETA POLO PIQUE PRETO 9900 T G;21;58551;118;34,0489
58552;CAMISETA POLO PIQUE PRETO 9900 T GG;1;58552;151;31,2075
58550;CAMISETA POLO PIQUE PRETO 9900 T M;7;58550;118;33,5681
58548;CAMISETA POLO PIQUE PRETO 9900 T P;6;58548;151;32,9125
58547;CAMISETA POLO PIQUE PRETO 9900 T PP;6;58547;151;31,2083
47614;CAMISETA POLO TRAD PIQ PRETO TAM G;1;47614;402;31,9
28045;CAMISETA POLO TRAD PIQ PRETO TAM M;6;896054;402;28,6777
34252;CAMISETA POLO TRAD VDE MACA T M;3;77298577;494;26,4772
32678;CAMISETA POLO TRAD VERDE M;11;790741;494;26,6638
32631;CAMISETA POLO TRAD VERDE MACA 3G;2;216479;626;25,5029
52880;CAMISETA PV PREMIUM BCO T G 0050C;1;52880;9;26,27
32832;CAMISETA PV PRETO M C M;6;1042221;537;17,9278
32830;CAMISETA PV PRETO M C P;9;1042030;619;17,9277
32843;CAMISETA PV PRETO M C T G;4;1042306;537;17,9279
34239;CAMISETA PV VERDE MUSGO M C T GG;7;13432;7;18,2415
34240;CAMISETA PV VERDE MUSGO M C T M;13;13046;7;17,928
34241;CAMISETA PV VERDE MUSGO M C T P;27;13045;7;18,2358
45266;CAMISETA PV VERDE MUSGO M C T PP 2248;10;45266;174;17,9281
51011;CAMISETA TREINAMENTO M C PV T 5G BRANCO;6;51011;537;17,5125
32817;CAMISETA TREINAMENTO VERDE M C G;3;1083262;537;17,928
32857;CAMISETA TREINAMENTO VERDE M C PP;6;1139310;619;18,3431
47141;CAMISETA UNI CEDROFIL M C BCA T M;2;47141;579;59,345
47140;CAMISETA UNI CEDROFIL M C BCO T P;1;47140;579;59,3456
58618;CAMISETE CEDROFIL BCA M C T G;4;58618;151;45,202
55015;CAMISETE CEDROFIL BCA M C T P;1;55015;297;48,5
55476;CAMISETE CEDROFIL BCA M C T PP;5;55476;151;41,904
35727;CAMISETE CEDROFIL BCA M L T 4G;6;16121;537;48,3888
34408;CAMISETE CEDROFIL BCA M L T M;15;12492;279;52,0478
34407;CAMISETE CEDROFIL BCA M L T PP;11;12154;151;60,0317
35664;CAMISETE CEDROFIL BRANCA M L GG;1;12491;537;43,8826
34262;CAMISETE CEDROFIL SUB GERENTE BCA M L P;5;77298041;151;59,986
36583;CAMISETE CEDROFIL VDE M L T G;12;11623;537;45,0814
47636;CAMISETE CEDROFIL VERDE M C T M;2;47636;727;36,52
47640;CAMISETE CEDROFIL VERDE M L T 4G;4;47640;537;50,0757
59052;CAMISETE M C DOPTEX ALFAZEMA 2129 4G;2;;279;53,8
58712;CAMISETE M C DOPTEX ALFAZEMA T 3G;2;58712;118;53,8
58711;CAMISETE M C DOPTEX ALFAZEMA T P;2;58711;118;48,5
44941;CAMISETE MANGA CURTA CEDROFIL T GG VERDE;9;44941;579;47,9325
36288;CAMISETE MANGA CURTA CEDROFIL VDE 4380G1 T G;5;1E+12;626;35,5133
55016;CAMISETE TRAD M C CEDROFIL BCA T M;13;55016;151;46,1443
28053;CAMISETE TRAD TRIM BCO G;10;964210;279;56,3578
44943;GARDAPO FEM M L GOLA PADRE T G MICROF BCO OPTI;1;1E+12;1.286,00;59,07
28033;GUARDAPO FEM GOLA PADRE MIC BCO ML T M;1;9289089;1.123,00;42,92
35373;JALECO ANTI CHAMA CEDROTEC CZA T G;10;14767;402;158,4422
35362;JALECO ANTI CHAMA CEDROTEC CZA T P;8;14789;461;143,34
35333;JALECO ANTI CHAMA CEDROTEC CZA T PP;3;1,48E+04;1.123,00;144,76
47739;JALECO CHEF CEDROFIL BRANCO T 4G;2;47739;1.340,00;64,77
35324;JALECO CHEF CEDROFIL BRANCO T G;9;100269;118;81,4667
35288;JALECO CHEF CEDROFIL BRANCO T GG;6;1,00E+05;118,00;81,1958
35714;JALECO CHEF CEDROFIL BRANCO T M;14;13312;118,00;78,8536
34933;JALECO CHEF CEDROFIL BRANCO T P;8;13902;118;80,367
47738;JALECO CHEF FEM CEDROFIL BCO T 5G;3;47738;354;89,4
27427;JALECO CHEFF TRIM BRANCO 3G;2;991568;1.698,00;49,4
32640;JALECO CHEFF TRIM BRANCO M;1;469456;1.698,00;46,9218
32639;JALECO CHEFF TRIM BRANCO PP;5;469302;151;76,15
21550;LUVA TERMICA GRAFATEX 45CM;2;7,90875E+12;40;80,59
35266;MOLETOM C CAPUZ BRANCO T G;8;13440;151;78,8492
35276;MOLETOM C CAPUZ BRANCO T P;7;13720;221;85,5957
34895;MOLETOM C CAPUZ BRANCO T PP;3;13719;151;74,6175
32708;SAIA DELL BI ELASTICA PRETA T 46;5;895538;62,00;29,9686
50794;SAIA DELL BI ELASTICA PRETA T 48;2;50794;578,00;37,931
32692;SAIA DELL PRETA 36;1;889803;1.123,00;27,24
34372;SAIA DELL PRETA 38;4;1,89E+06;578;31,4544
34373;SAIA DELL PRETA 40;4;1886795;578;33,79
27313;TOUCA CONFEITEIRO MASC FEM C ABA;17;681230;626;11,133
34266;TOUCA DE COZINHA TELINHA BCA;6;13315;354;7,5
;;;;;
;;;;;
;;;;;
